Restaurant Name,Category,Rating,Cost for Two (in Rupees),Area,Main Cuisine,Cuisine Count
Khichdi Paradise,"Home Food, Desserts, Beverages, Healthy Food",,250,Arekere,Home Food,4
Home Plate by EatFit,"North Indian, Home Food, Healthy Food, Indian, Punjabi, South Indian, Rajasthani...",3.9,160,Arekere,North Indian,7
THE GRILL & CO.,"Indian, Tandoor, Biryani",,300,Arekere,Indian,3
555 Darjeeling Unique Asian Cuisine,Asian,,300,Arekere,Asian,1
Momo Guy ,"Asian, Tibetan, Desserts, Beverages",,200,Arekere,Asian,4
BigBites,"Street Food, Fast Food, Tex-Mex",,300,Arekere,Street Food,3
Domino's Pizza,Pizzas,,400,Arekere,Pizzas,1
UDTA PUNJABI SWAD,"Indian, Tandoor, Biryani, Chinese",,250,Arekere,Indian,4
Samosa Singh,"Snacks, North Indian, Desserts, Beverages",,150,Arekere,Snacks,4
HUNGER TREATS,"Burgers, Snacks",,300,Arekere,Burgers,2
Mr Bix,"Pizzas, American",,300,Arekere,Pizzas,2
SNACKITAREA,"Continental, Indian, Chaat, Beverages, Desserts",,300,Arekere,Continental,5
Healthy Beverages by Adigas,"Beverages, Juices, Healthy Food",,200,Arekere,Beverages,3
Kouzina Kafe - The Food Court,"Bakery, Fast Food, Beverages, American, Ice Cream, Desserts",,150,Arekere,Bakery,6
Indian Sweets Snacks And Chats,"Street Food, Snacks",,40,Arekere,Street Food,2
Sandos 'n Grills,"American, Continental, Italian, Pastas, Beverages, Desserts",,450,Arekere,American,6
Subway,"Fast Food, Salads, Snacks, Desserts, Beverages",,350,Arekere,Fast Food,5
New Kabab Zone,"North Indian, Chinese, Biryani",3.9,250,Arekere,North Indian,3
Charvi's,"Healthy Food, Salads, Juices, Fast Food",,200,Arekere,Healthy Food,4
Chopito (Salad's and Pasta),"Indian, Salads, Pastas",,250,Arekere,Indian,3
Chai Point,"Bakery, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punjabi",,150,Arekere,Bakery,7
Haage Vegetarian,"Snacks, Indian, Juices",,200,Arekere,Snacks,3
Crown Restaurant,"Indian, Chinese",3.7,300,Arekere,Indian,2
Aromatic Biryani ,"Biryani, Snacks",,400,Arekere,Biryani,2
New Atithi Biryani Corner,Indian,,220,Arekere,Indian,1
BRAHMINS CHATS And FAST FOOD,Chaat,,150,Arekere,Chaat,1
ANNAPOORNESHWARI DONNE BIRIYANI,"Biryani, Indian, Chinese",,350,Arekere,Biryani,3
Quad Pizza,"Pizzas, Fast Food, Desserts, Italian, American",,400,Arekere,Pizzas,5
LASSI CORNER,"Ice Cream, Fast Food, Desserts, Beverages",,150,Arekere,Ice Cream,4
Just Delicious,"North Indian, Snacks, Chaat, Desserts, Punjabi, Rajasthani, Thalis, Maharashtria...",,300,Arekere,North Indian,8
Thakkali Kitchens,"Kerala, South Indian, Indian, Chinese",3.8,399,Arekere,Kerala,4
Iyengar Amma Pastries,"Bakery, Snacks, Sweets",,300,Arekere,Bakery,3
Snack Ride,"Snacks, Chaat, Street Food",,250,Arekere,Snacks,3
Hot Tandoor,"North Indian, Chinese, Tandoor, Beverages",,300,Arekere,North Indian,4
Love towards Momos,Chinese,,220,Arekere,Chinese,1
PAWAN SWEETS,Sweets,,360,Arekere,Sweets,1
NAALNAAD MANE,"Indian, South Indian, Desserts",,438,Arekere,Indian,3
Dumwala,"Biryani, Desserts",,200,Arekere,Biryani,2
GOWHEY- HEALTHY DESSERT COMPANY,"Ice Cream, Healthy Food, Desserts",,200,Arekere,Ice Cream,3
SLV lassi corner,Beverages,,60,Arekere,Beverages,1
Chavadi,"Continental, Pizzas, Mangalorean",,450,Arekere,Continental,3
The Brooklyn Creamery - Healthy Ice Cream,"Desserts, Ice Cream, Healthy Food",,200,Arekere,Desserts,3
Amul Ice Cream Parlour (DLF Main Road),"Desserts, Ice Cream, Beverages",,99,Arekere,Desserts,3
Sandwich Guru,"Snacks, Beverages",,150,Arekere,Snacks,2
Onfly Biryani,"Biryani, Chinese, Snacks",,400,Arekere,Biryani,3
Box Asia - Chinese and More,"Chinese, Continental, Fast Food",,300,Arekere,Chinese,3
Juice and Lassi,Beverages,,140,Arekere,Beverages,1
ANDHRA KITCHEN,Chinese,,250,Arekere,Chinese,1
HOTEL AMULYA VEG & NON VEG,"Indian, Biryani",,300,Arekere,Indian,2
Mealful Rolls - Meals in a Roll,"Fast Food, North Indian, Desserts",,250,Arekere,Fast Food,3
Ishta Cafe - Millet Pizzas,"Pizzas, Salads, Beverages, Healthy Food",3.7,400,Arekere,Pizzas,4
Swad E Punjabi,Indian,,200,Arekere,Indian,1
Paratha Envy,North Indian,,249,Arekere,North Indian,1
Meha's Biriyani,"Biryani, Indian, Chinese",,380,Arekere,Biryani,3
Green Cravings,"Healthy Food, Continental, Keto, Indian, Salads",,250,Arekere,Healthy Food,5
New Udupi Veg,"South Indian, Chinese, Chaat, North Indian",3.7,200,Arekere,South Indian,4
HOTEL RAYAN AMBUR DUM BIRIYANI,"Biryani, South Indian, Indian",,200,Arekere,Biryani,3
Suchi Ruchi Food Point,"Snacks, South Indian, Indian",,300,Arekere,Snacks,3
Veggie Food World,Fast Food,,200,Arekere,Fast Food,1
K R NATI STYLE HOTEL,"North Indian, Biryani, South Indian",,300,Arekere,North Indian,3
GUNDU PALAV SGS NON VEG - ORIGINAL,Indian,3.4,200,Arekere,Indian,1
Kundapura Coffee,Beverages,,200,Arekere,Beverages,1
Ice Cream Palace (Cool Zone),Desserts,,100,Arekere,Desserts,1
Dindigul Thalappakatti,"Biryani, Barbecue, Chinese, North Indian, South Indian",3.8,650,Arekere,Biryani,5
Biryanis by ITC Master Chef,"Biryani, Kebabs",,650,Arekere,Biryani,2
LIQUID LAMA,Beverages,,300,Arekere,Beverages,1
Prashanth Gowdru Badoota,"Indian, Tandoor, Chinese",,400,Arekere,Indian,3
KFC,"American, Snacks",3.9,400,Arekere,American,2
Green Mirchi,"Indian, North Indian",,250,Arekere,Indian,2
Soup Station,"Continental, Healthy Food",3.8,300,Arekere,Continental,2
The Dessert Zone,"Bakery, Desserts, Ice Cream, Beverages",,200,Arekere,Bakery,4
GURU PALACE,"Chinese, Indian, Tandoor, Seafood, Biryani, Punjabi",,500,Arekere,Chinese,6
Chaatimes,"Chaat, Beverages",,150,Arekere,Chaat,2
Mega Biryani,"Biryani, Hyderabadi",,400,Arekere,Biryani,2
The Bowl Company,"Continental, Indian, Pan-Asian, Desserts, Chinese, Biryani, Sweets",,300,Arekere,Continental,7
homely,"Home Food, North Indian, South Indian, Beverages, Desserts, Thalis",,200,Arekere,Home Food,6
Just Shawarma,Lebanese,3.7,150,Arekere,Lebanese,1
NAMANA GARDEN,"South Indian, North Indian",3.3,140,Arekere,South Indian,2
Iyengars Bakery,Bakery,,100,Arekere,Bakery,1
Food Court By Kitchens@,"Biryani, Mughlai, Seafood, Kerala, Andhra, Chinese, North Indian, South Indian, ...",3.7,300,Arekere,Biryani,9
Mr. Pings kitchen,Chinese,,200,Arekere,Chinese,1
Amma's Pastries,"Bakery, Desserts",,350,Arekere,Bakery,2
DESI CHOWK,"Indian, North Indian, Tandoor",3.8,299,Arekere,Indian,3
Gajanan Mithai Ghar,"Bakery, Snacks, Sweets",,100,Arekere,Bakery,3
Oven Story Pizza,"Pizzas, Italian",3.7,400,Arekere,Pizzas,2
Rolls Mania,North Indian,,200,Arekere,North Indian,1
Miya Bhai Barbeques,"Arabian, Snacks",,250,Arekere,Arabian,2
Pastas By Pizza Hut,"Pastas, Pizzas, Italian, Fast Food, Beverages",,300,Arekere,Pastas,5
Superman Momos,"Chinese, Tibetan, Nepalese, Beverages, Pizzas, Combo",,800,Arekere,Chinese,6
WELCOME FOOD JUNCTION,"North Indian, Chinese, Biryani",,500,Arekere,North Indian,3
Zomoz - The Momo Company,"Tibetan, Chinese, Asian, Street Food, Fast Food",,250,Arekere,Tibetan,5
Five Star Chicken,"Fast Food, Snacks",,260,Arekere,Fast Food,2
Chakka Manga Thenga,"Kerala, Seafood",,250,Arekere,Kerala,2
Chaat & Chinese By Just Delicious,"Chaat, Snacks, Indian",,250,Arekere,Chaat,3
NOTO - Healthy Ice Cream,"Ice Cream, Healthy Food, Desserts",,300,Arekere,Ice Cream,3
cafe kanthari,"Kerala, South Indian",,250,Arekere,Kerala,2
Madras Meal Company,"Chettinad, South Indian",3.9,250,Arekere,Chettinad,2
ZAZA 22 Spice Biryani,"Biryani, North Indian, Mughlai",3.4,250,Arekere,Biryani,3
Maa Reddy's Hyderabadi Biryani House,"Biryani, Indian, Andhra, Chinese, Hyderabadi, Seafood",3.4,400,Arekere,Biryani,6
Wow! Momo,"Tibetan, Healthy Food, Asian, Chinese, Snacks, Continental, Desserts, Beverages",,250,Arekere,Tibetan,8
JAKAAS PIZZA ZONE,"Bengali, Punjabi, Fast Food",,250,Arekere,Bengali,3
UDUPI UPAHAR,"Chinese, South Indian, Beverages",,100,Arekere,Chinese,3
NEW HOT GRILL,"Arabian, North Indian, Chinese",,350,Arekere,Arabian,3
Juice Shop,"Juices, Ice Cream, Desserts, Beverages",,150,Arekere,Juices,4
5461 CAFE,American,,200,Arekere,American,1
SRI RADHE RASOI,"North Indian, Desserts, Beverages",,250,Arekere,North Indian,3
Noodle King Asian Bowls,"Thai, Chinese, Pan-Asian",3.7,500,Arekere,Thai,3
Maa Ki Khichdi,"Home Food, Desserts, Beverages",,250,Arekere,Home Food,3
Tuckshop Cafe,"American, Fast Food, Snacks, Combo",,200,Arekere,American,4
Estaa Sweets,"Sweets, Snacks",,300,Arekere,Sweets,2
Delhi Swad,"North Indian, Chinese, Biryani, Snacks, Salads",,200,Arekere,North Indian,5
Hungry Tubs,"Chinese, Snacks",,250,Arekere,Chinese,2
FreshMenu,"Chinese, Continental, Italian, Mediterranean, Thai, Lebanese, American, Asian, B...",3.9,250,Arekere,Chinese,9
The North Delicacy,"North Indian, Sweets, Combo",,400,Arekere,North Indian,3
Pizza Hut,Pizzas,3.8,350,Arekere,Pizzas,1
Samosa King & biryani challengers,"Biryani, Chinese, Combo, Indian",,399,Arekere,Biryani,4
Habibi Falafel,"Lebanese, Arabian",,300,Arekere,Lebanese,2
Davanagere benne dosa corner,South Indian,,250,Arekere,South Indian,1
BABU BIRIYANI CENTER,"Biryani, Chinese, Chaat",,250,Arekere,Biryani,3
Chit Pat Chat,Fast Food,,250,Arekere,Fast Food,1
Donne Biriyani House,Biryani,,250,Arekere,Biryani,1
Centric,Beverages,,400,Arekere,Beverages,1
BIG MISHRA PEDHA,"Desserts, Snacks",,200,Arekere,Desserts,2
Panda Momos,"Asian, Tibetan, Desserts, Beverages",,200,Arekere,Asian,4
Big Pitcher,"Chinese, Desserts, North Indian, Biryani",,400,Arekere,Chinese,4
Eato India,"Indian, Chinese",,99,Arekere,Indian,2
Juice Ghar,"Juices, Fast Food, Snacks, Beverages",,250,Arekere,Juices,4
Lissys Taste Buds,"South Indian, Combo, Kerala",,200,Arekere,South Indian,3
brahmalingeshwara coffee shop,Beverages,,150,Arekere,Beverages,1
SWAD LAJABAB,North Indian,,300,Arekere,North Indian,1
Dairy Day Ice Creams,"Ice Cream, Desserts",,200,Arekere,Ice Cream,2
Maharaja Military Canteen,South Indian,3.8,350,Arekere,South Indian,1
Dande's Hyderabad Biryani,"Andhra, Biryani, Hyderabadi",,400,Arekere,Andhra,3
Vishal Foods,North Indian,3.6,280,Arekere,North Indian,1
Biryani Mount,"Biryani, North Indian, Combo, Beverages, Desserts",,250,Arekere,Biryani,5
New Tasty Hotel,"Biryani, Indian",,300,Arekere,Biryani,2
TASTY THINDI,"Biryani, Combo, Indian",,300,Arekere,Biryani,3
PizzaByte,Pizzas,,300,Arekere,Pizzas,1
Thalassery Restaurant,"South Indian, Biryani, Kerala, North Indian, Chinese",3.9,300,Arekere,South Indian,5
Waffle Walle,"Waffle, Desserts, Ice Cream, European, American, Snacks, Beverages, Bakery",3.8,250,Arekere,Waffle,8
Kanti Sweets,Desserts,,100,Arekere,Desserts,1
SLV REDDY MILITARY HOTEL,"Biryani, Indian",,300,Arekere,Biryani,2
L V IYENGARS BAKERY,"Bakery, Snacks, Sweets",,150,Arekere,Bakery,3
"Bombay Kulfi- Kulfis,Desserts, Icecream","Desserts, Ice Cream",,100,Arekere,Desserts,2
Dosa Vilas,"Andhra, South Indian",,200,Arekere,Andhra,2
Leon Grill,"American, Snacks, Turkish, Portuguese, Continental",,300,Arekere,American,5
MOMO JUNCTION,"Fast Food, Snacks",3.5,150,Arekere,Fast Food,2
LunchBox - Meals and Thalis,"North Indian, Punjabi, Combo, Biryani, Healthy Food, Jain, Thalis, Indian, Mughl...",,200,Arekere,North Indian,9
The cake chef,"Bakery, Desserts",,300,Arekere,Bakery,2
Meghana Foods,"Biryani, Andhra, South Indian, North Indian, Chinese, Seafood",,500,Arekere,Biryani,6
Pandessert,Bakery,,250,Arekere,Bakery,1
Babu idli,"South Indian, Biryani, Desserts",,150,Arekere,South Indian,3
Shobha's Kitchen,Indian,,120,Arekere,Indian,1
Kulfi and More,Ice Cream,,150,Arekere,Ice Cream,1
Adiga's,"South Indian, North Indian, Chinese, Thalis, Fast Food, Juices, Desserts",,200,Arekere,South Indian,7
Mandarin bay,"Chinese, Asian",,400,Arekere,Chinese,2
Kwality Walls Frozen Dessert and Ice Cream Shop,"Ice Cream, Desserts",,300,Arekere,Ice Cream,2
The Good Bowl,"North Indian, Punjabi, Biryani, Chinese, Beverages, Desserts, Jain, Indian, Hyde...",,400,Arekere,North Indian,9
The Pizzeria,"Italian, Salads, Pizzas, Fast Food",,600,Arekere,Italian,4
Hungry Bandar,North Indian,,200,Arekere,North Indian,1
BIHARI HOME MADE FOODS,Indian,,200,Arekere,Indian,1
Jaya Cafe,South Indian,,200,Arekere,South Indian,1
Wrapasta,American,,300,Arekere,American,1
Wandercrust,"Pizzas, Italian",,350,Arekere,Pizzas,2
Atharv Home Made Products,Indian,,200,Arekere,Indian,1
Jen & Jo Ice Cream,Ice Cream,,200,Arekere,Ice Cream,1
Peppy Parathas & Rolls By Chai Point,"Bakery, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punjabi",,150,Arekere,Bakery,7
Malabar eats,"Kerala, South Indian, Chinese, Beverages",,400,Arekere,Kerala,4
Lassi Shop,Beverages,,200,Arekere,Beverages,1
Juicy&spicy,"Chinese, South Indian, North Indian, Fast Food, Beverages",3.8,150,Arekere,Chinese,5
Melting Pot,"Indian, Continental, Chinese",,500,Arekere,Indian,3
Tasty Point,Snacks,,200,Arekere,Snacks,1
Southly Healthy,"South Indian, Healthy Food",3.7,200,Arekere,South Indian,2
S V HOME FOODS,"South Indian, Biryani",,500,Arekere,South Indian,2
The Great Indian Food Court,"Fast Food, Snacks",,300,Arekere,Fast Food,2
Holige Mane Kuruk Thindi,Sweets,,200,Arekere,Sweets,1
SLAY Coffee,"Beverages, Desserts",,200,Arekere,Beverages,2
ITC Fabelle Chocolates,"Bakery, Desserts, Sweets",,600,Arekere,Bakery,3
PRACHINA KITCHEN,"Biryani, Chinese",,199,Arekere,Biryani,2
Achayans Kerala Homely Food,Indian,,300,Arekere,Indian,1
Ludos Pizza,Pizzas,3.7,300,Arekere,Pizzas,1
Enchante By Chai Point,"Bakery, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punjabi",,150,Arekere,Bakery,7
M Y LIVE NATI DUM HOSKOTE BIRIYANI,"Indian, Biryani",,450,Arekere,Indian,2
HomeSe Just Veg,"South Indian, North Indian, Fast Food",,200,Arekere,South Indian,3
Shanghai Court VB Layout,"Chinese, Thai",,450,Arekere,Chinese,2
"Frozen Bottle - Milkshakes, Desserts And Ice Cream","Beverages, Desserts, Ice Cream, Combo, Waffle, Bakery, Healthy Food",,250,Arekere,Beverages,7
NATIONAL RESTAURANT,"South Indian, Biryani, Chinese",,200,Arekere,South Indian,3
Rotti Mane (Uttara Karnataka Food Store),South Indian,,200,Arekere,South Indian,1
Cafe Baha,"Beverages, Indian, Fast Food",,300,Arekere,Beverages,3
Tandoor And Chinese Hut,"Chinese, North Indian",,200,Arekere,Chinese,2
Food Affair,"North Indian, Tandoor, Chinese, Desserts, Beverages, Juices, Healthy Food",,350,Arekere,North Indian,7
Buzz A Pizza-Wood Fired Pizzas,"Pizzas, Beverages, Desserts, Italian, Pastas",3.9,400,Arekere,Pizzas,5
Kaati Zone Rolls & Wraps,"Fast Food, Beverages, Bengali, Biryani, Indian, North Indian, Snacks, Street Foo...",,150,Arekere,Fast Food,8
Paratha Junction,North Indian,3.2,150,Arekere,North Indian,1
HUNGRY,"Chinese, Malaysian, Combo",,200,Arekere,Chinese,3
Ghar Waali Baat,"Street Food, North Indian, South Indian, Fast Food",,150,Arekere,Street Food,4
Andhra Gunpowder,"Andhra, Biryani, South Indian",,350,Arekere,Andhra,3
A2B Veg,"South Indian, North Indian, Sweets, Chinese",,300,Arekere,South Indian,4
SLV cool and snacks,"Snacks, South Indian, Chinese",,200,Arekere,Snacks,3
Adil Bhai Roti Wale,Indian,,354,Arekere,Indian,1
"Trippy Snacks - Fries, Momos & Desserts","Ice Cream, Desserts, Beverages",,125,Arekere,Ice Cream,3
McDonald's,"Burgers, Beverages, Cafe, Desserts",,400,Arekere,Burgers,4
Aditi Kitchen,"Indian, Biryani, Chinese",,200,Arekere,Indian,3
Five Star Chicken Bilekahalli,American,3.5,100,Arekere,American,1
Dakshin Cafe,"South Indian, North Indian, Chinese",,150,Arekere,South Indian,3
PATEL MILTRY HOTEL,"Chinese, Biryani, Kebabs",,250,Arekere,Chinese,3
Veruthe Oru Thattukada,"Biryani, Seafood, South Indian",3.9,350,Arekere,Biryani,3
RICE NOODLES,"Chinese, Pan-Asian, American",,200,Arekere,Chinese,3
Amy's Kitchen,"Biryani, Combo, Desserts",,250,Arekere,Biryani,3
Chinese Bowl Company,"Chinese, Asian, Beverages, Indian, North Eastern, Maharashtrian, Desserts, Malay...",,800,Arekere,Chinese,8
LA ITALIA,"Pizzas, Pastas, Desserts, Salads, Thai",,500,Arekere,Pizzas,5
Mani's Dum Biryani,Indian,,483,Arekere,Indian,1
Pure Veg Meals by Lunchbox,"North Indian, Desserts, Biryani",,200,Arekere,North Indian,3
White Mountain - Ice Cream and Sundaes,"Ice Cream, Beverages, Juices",,250,Arekere,Ice Cream,3
Hyderabad Biryaani House,"North Indian, Chinese, Hyderabadi, Biryani, Andhra",3.9,600,Arekere,North Indian,5
Chatori Gali,"Bengali, Chinese, North Indian, Desserts",,200,Arekere,Bengali,4
Thalaivars Biryani,"Andhra, Biryani, Hyderabadi, South Indian, Indian, Combo, Beverages",,200,Arekere,Andhra,7
Kakal Kai Ruchi Dlf,Indian,,300,Arekere,Indian,1
COORG HUT,Indian,,300,Arekere,Indian,1
Chowman,"Thai, Asian, Pan-Asian, Chinese, Oriental",,800,Arekere,Thai,5
BANGARPETE CHATS,"Chaat, Indian",,200,Arekere,Chaat,2
Sri Bhagya Grand,"South Indian, North Indian, Chinese, Desserts, Jain, Ice Cream, Beverages",,150,Arekere,South Indian,7
ITC Sunfeast Baked Creations,"Bakery, Desserts, Beverages",,600,Arekere,Bakery,3
iSiri Cafe,"Chinese, Snacks, Desserts, Chaat",,500,Arekere,Chinese,4
Sundae Everyday Ice Creams,"Desserts, Ice Cream",,150,Arekere,Desserts,2
ITC Master Chef Creations,"North Indian, Biryani, Indian, Punjabi, Chaat, Kebabs, Tandoor, Mughlai, Dessert...",,650,Arekere,North Indian,9
Icecream wala - desserts & thikshaks,Ice Cream,,200,Arekere,Ice Cream,1
Grand Chef Restaurant,"Chettinad, Indian, Kerala, South Indian, Tandoor",,200,Arekere,Chettinad,5
PIZZA EXPRESS,"Pizzas, Italian",,198,Arekere,Pizzas,2
Eating Love Pizzeria,"Pizzas, Pastas, Beverages, Italian, Desserts",,500,Arekere,Pizzas,5
Indian Burrito Company,"Tex-Mex, Salads, Healthy Food, Keto, Mexican, Fast Food, Pizzas, Beverages",,300,Arekere,Tex-Mex,8
Polar Bear,"Ice Cream, Desserts",,300,Arekere,Ice Cream,2
WarmOven Cakes & Desserts,"Bakery, Desserts, Beverages",,200,Arekere,Bakery,3
Krishna Kuteera,"South Indian, Chinese, North Indian",,200,Arekere,South Indian,3
Behrouz Biryani,"Biryani, Mughlai, Lucknowi, Hyderabadi, Kebabs, North Indian, Persian, Desserts",,500,Arekere,Biryani,8
PARK LAND PUB AND RESTAURANT,"Chinese, Indian, Asian, Salads, Continental",,450,Arekere,Chinese,5
MBA In Khichdi,"Home Food, Desserts, Beverages",,250,Arekere,Home Food,3
Entrega Ecom,"Indian, Thalis",,300,Arekere,Indian,2
007 Lighthouse Pizza,"Snacks, Fast Food, Pizzas",,250,Arekere,Snacks,3
Brew Drop Cafe,"Snacks, Juices, Beverages, Desserts",,250,Arekere,Snacks,4
Meet & Eat Corner,"Fast Food, Snacks, Beverages",,200,Arekere,Fast Food,3
BaHa Superfoods,"Healthy Food, Juices, Beverages, Snacks, Desserts",,200,Arekere,Healthy Food,5
Starbucks Coffee,Beverages,,400,Arekere,Beverages,1
La shawarma,"Lebanese, Fast Food, Snacks, Beverages",,70,Arekere,Lebanese,4
Flying Kombucha,"American, Beverages",,200,Arekere,American,2
Bombay Brasserie,"North Indian, Biryani, South Indian, Mughlai",,900,Arekere,North Indian,4
Beijing Bites,"Chinese, Thai",,450,Arekere,Chinese,2
Simar's Kitchen,"Chinese, North Indian",,200,Arekere,Chinese,2
ROTTI MANE,Indian,,300,Arekere,Indian,1
Goli Vada Pav No .1,"Maharashtrian, North Indian, Street Food",,100,Arekere,Maharashtrian,3
Jenny's Brownies,"Desserts, Beverages, Bakery",,250,Arekere,Desserts,3
The Punjabi Rasoi,"North Indian, Punjabi, Thalis, Tandoor, Chinese",,400,Arekere,North Indian,5
Oven and Loaf,Pizzas,,300,Arekere,Pizzas,1
Sanskari Paratha,"North Indian, Desserts",,250,Arekere,North Indian,2
Absolute Momo Cafe,"Chinese, Fast Food",,250,Arekere,Chinese,2
Rayan Kitchen,"Beverages, Indian",,400,Arekere,Beverages,2
BILAL AMBUR BIRIYANI HOUSE,"Biryani, Chinese, Kebabs",,300,Arekere,Biryani,3
IYENGAR CAKE PALACE,"Bakery, Snacks",3.6,150,Arekere,Bakery,2
DINDIGUL BIRIYAANI,"Biryani, Snacks",,300,Arekere,Biryani,2
Tanduri Corner,"Tandoor, Chinese",,250,Arekere,Tandoor,2
Biryani Trip,"Biryani, Hyderabadi, Indian",,400,Arekere,Biryani,3
Taco Bell,Mexican,,300,Arekere,Mexican,1
Budapest Bake Inn,"Desserts, Ice Cream, Bakery, Beverages",3.9,250,Arekere,Desserts,4
Bakers delight,"Bakery, Fast Food",,300,Arekere,Bakery,2
The Dripping Cone,"Ice Cream, Desserts, Beverages",,200,Arekere,Ice Cream,3
Nasi and Mee,"Asian, Chinese, Singaporean, Malaysian, Japanese, Thai, Indonesian",,800,Arekere,Asian,7
Kabab Magic,"North Indian, Chinese, Biryani, Tandoor",,300,Arekere,North Indian,4
The IceCream Zone,"Ice Cream, Desserts, Beverages",,250,Arekere,Ice Cream,3
Anand Sweets and Savouries,"Sweets, Chaat, Snacks, Desserts, North Indian",,300,Arekere,Sweets,5
Absolute Shawarma,Indian,3.8,250,Arekere,Indian,1
McCafe by McDonald's,"Beverages, Desserts",,250,Arekere,Beverages,2
Sri Banasankri Military Hotel,"North Indian, Biryani",,200,Arekere,North Indian,2
Brahma Brews,Indian,,1400,Arekere,Indian,1
Mother's Rasoi,North Indian,,150,Arekere,North Indian,1
Dawg Haus - Loaded Hotdogs,"American, Continental, Beverages",,450,Arekere,American,3
Ice Corner,"Fast Food, Ice Cream",3.7,200,Arekere,Fast Food,2
Banashankari Donne Biryani,"Biryani, Kebabs, South Indian, Chinese",,199,Arekere,Biryani,4
Chow San,"Chinese, Seafood",,300,Arekere,Chinese,2
Amido Truly Italian Cuisine,"Italian, Mediterranean",,400,Arekere,Italian,2
BENGALURU BOX,"Indian, Continental, Chinese",,400,Arekere,Indian,3
Momo Monk,"Pan-Asian, Chinese",,350,Arekere,Pan-Asian,2
Snack House,Street Food,3.9,300,Arekere,Street Food,1
Wendy's,"American, Burgers, Fast Food, Beverages, Snacks",,200,Arekere,American,5
Tikka Kebab,"Arabian, Biryani, Chinese, Grill, Kebabs, North Indian, Tandoor",3.9,300,Arekere,Arabian,7
Boma Rang Thai & Chainese Kitchen,Chinese,,400,Arekere,Chinese,1
Ambur Dum Biryani,"Biryani, Kebabs, Indian",,200,Arekere,Biryani,3
Andhra Gunpowder,"Andhra, Biryani, South Indian",,350,Arekere,Andhra,3
Impulse fish fry & kabab,"Seafood, Indian",,250,Arekere,Seafood,2
Edesia by Freshmenu,"Desserts, Bakery, Sweets",3.7,150,Banashankari,Desserts,3
U. K. Foods,South Indian,3.2,200,Banashankari,South Indian,1
AMBI NAATI STYLE,Indian,,450,Banashankari,Indian,1
Hokart Srinivas bajji Centre,"Fast Food, Street Food, Snacks",,99,Banashankari,Fast Food,3
Garam Chai Xpress,"Beverages, Indian, Snacks",,100,Banashankari,Beverages,3
Kwality Walls Frozen Dessert and Ice Cream Shop,"Ice Cream, Desserts",,200,Banashankari,Ice Cream,2
KARAVALI FISH KABAB POINT,Indian,,200,Banashankari,Indian,1
Yelneer Katte,Beverages,,200,Banashankari,Beverages,1
Tiwari's Ghee Paratha & Chaat,North Indian,,200,Banashankari,North Indian,1
Pizza Hut,Pizzas,3.8,350,Banashankari,Pizzas,1
NAVADURGA JUICE & CHATS,"Beverages, Snacks",,150,Banashankari,Beverages,2
Shree Mahalakshmi Sweets,Desserts,,200,Banashankari,Desserts,1
ICE CORNER,"Desserts, Beverages, Ice Cream, Juices",3.4,300,Banashankari,Desserts,4
Jalsa,"North Indian, Mughlai",3.9,1000,Banashankari,North Indian,2
Tandoori Knight,North Indian,3.9,400,Banashankari,North Indian,1
Brindavana Veg,South Indian,,200,Banashankari,South Indian,1
Canteen Central - Pizzas & Pastas,"Pizzas, American, Fast Food, Snacks, Desserts, Beverages, North Indian, Italian",,350,Banashankari,Pizzas,8
Vegetalia Pizza,Pizzas,,400,Banashankari,Pizzas,1
The Dessert Corner,"Bakery, Desserts",3.8,200,Banashankari,Bakery,2
Hokart - Halli Roti Mane,"South Indian, Street Food, Fast Food, Snacks, Combo, Desserts",,150,Banashankari,South Indian,6
WarmOven Cakes & Desserts,"Bakery, Desserts, Beverages",,200,Banashankari,Bakery,3
cake of the day,"Bakery, Snacks, Fast Food, Indian",,300,Banashankari,Bakery,4
BOX8 - Desi Meals,"North Indian, Biryani, Fast Food, Desserts",3.9,250,Banashankari,North Indian,4
DOOSE ADDA,South Indian,,100,Banashankari,South Indian,1
Banashankari Donne Biryani,"Biryani, South Indian, Chinese, Indian",,400,Banashankari,Biryani,4
KING NON-VEG PARK,"Biryani, Chinese, Tandoor",,300,Banashankari,Biryani,3
Classic kitchen,"North Indian, Salads",,300,Banashankari,North Indian,2
Iceberg Organic Icecreams,Ice Cream,,200,Banashankari,Ice Cream,1
Nandhini Deluxe,"North Indian, Chinese, Andhra, Biryani",,400,Banashankari,North Indian,4
Subway,"Salads, Snacks, Desserts, Beverages",3.7,350,Banashankari,Salads,4
iSlice Pizzeria,"Pizzas, Continental",,500,Banashankari,Pizzas,2
Chung's,"Thai, Chinese, Mughlai, Kerala, Pan-Asian, Biryani, South Indian, Kebabs, Mongol...",,400,Banashankari,Thai,9
Keventers Ice Cream,"Ice Cream, Desserts",,200,Banashankari,Ice Cream,2
1947 Restaurant,"North Indian, Chinese, Desserts, Biryani, Continental",,750,Banashankari,North Indian,5
FIREWOOD BIRYANIS,"North Indian, Biryani",,399,Banashankari,North Indian,2
